I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:11:00,   216864,        0,       0,       0,       0,    4650,        0,   29134,        0,       8,       0,       0,     994,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:11:10,   163411,        0,       0,       0,       0,    4875,        0,   18181,        0,       4,       0,       0,    1005,       0,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:11:20,   162104,        0,       0,       0,       0,    4435,        0,   19112,        0,       4,       0,       0,    1052,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:11:30,   128722,        0,       0,       0,       0,    2337,        0,   13881,        0,       3,       0,     113,      29,       0,       0,       4,       2,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:11:40,   178640,        0,       0,       0,       0,    2100,        0,   23464,        0,       8,       0,       0,      61,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:11:50,   117235,        0,       0,       0,       0,    2135,        0,   13592,        0,       3,       0,       0,     129,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:00,   252528,        0,       0,       0,       0,    7919,        0,   26844,        0,       9,       0,       0,     343,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:10,   140532,        0,       0,       0,       0,    3692,        0,   14413,        0,       3,       0,       0,     377,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:20,   284595,        0,       0,       0,       0,    2356,        0,   18493,        0,       7,       0,       0,     389,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:30,   119720,        0,       0,       0,       0,    3154,        0,   13310,        0,       3,       0,       0,     430,       0,       0,       0,      16,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:40,   137045,        0,       0,       0,       0,    2574,        0,   18535,        0,       6,       0,       0,     461,       0,       0,       0,      13,       0,       0,       0,       0,       0,       0,       0,    1353,       0,       0
01/03/2017, 00:12:50,    97644,        0,       0,       0,       0,    1909,        0,    7652,        0,       1,       0,      50,      17,       0,       0,       2,       2,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:13:00,   186158,        0,       0,       0,       0,    4161,        0,   25972,        0,       9,       0,       0,     518,       0,       0,       0,       5,       2,       0,       0,       0,       0,       0,       0,    1354,       0,       0
01/03/2017, 00:13:10,   149795,        0,       0,       0,       0,    1907,        0,   18747,        0,       6,       0,       0,     537,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1354,       0,       0
